epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,7055.03,0.49712,0.06417,0.03229,0.32538,1.03777,0.99378,0.98797,0.99362,0.91657,0.99367,0.98858,0.99393,0.99284,0.48079,0.037,0.00046,0.22791,1.02222,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7359.79,0.48803,0.06406,0.03107,0.31855,1.03076,0.993,0.98718,0.99373,0.92369,0.99353,0.9877,0.99406,0.99293,0.45308,0.03516,0.00088,0.22192,1.0048,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,7663.43,0.48375,0.06192,0.02963,0.31885,1.0287,0.99291,0.98701,0.99347,0.91898,0.99236,0.98866,0.99369,0.99265,0.47485,0.03393,0.00072,0.25162,1.01383,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,7963.29,0.47936,0.06231,0.02864,0.31382,1.02337,0.99345,0.98893,0.99376,0.91897,0.99363,0.98901,0.99395,0.99309,0.47885,0.03452,0.00077,0.22311,1.01664,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,8262.18,0.47622,0.05794,0.02889,0.3115,1.02243,0.99357,0.98865,0.99361,0.92183,0.99383,0.98891,0.9939,0.99281,0.4475,0.03258,0.001,0.21683,0.9971,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,8562.86,0.46976,0.05883,0.02718,0.30694,1.01825,0.99321,0.98792,0.99399,0.92177,0.99374,0.98845,0.99423,0.99305,0.46454,0.03557,0.0006,0.21651,1.00927,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,8853.29,0.46975,0.06105,0.02664,0.30746,1.0186,0.99362,0.9884,0.99403,0.9219,0.99407,0.98884,0.99422,0.99336,0.47134,0.03555,0.00073,0.22722,1.00859,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,9106.08,0.46777,0.05774,0.02708,0.30341,1.01751,0.99453,0.98813,0.99396,0.92508,0.99488,0.98922,0.99419,0.99337,0.43667,0.03205,0.00074,0.21779,0.99293,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,9356.46,0.46343,0.05613,0.02661,0.30281,1.01539,0.99286,0.98936,0.99377,0.92576,0.99321,0.98971,0.99387,0.99306,0.43453,0.03232,0.00057,0.20575,0.99105,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,9606.79,0.46155,0.05693,0.02737,0.30002,1.01443,0.99395,0.99054,0.99399,0.92092,0.99421,0.9908,0.99423,0.9934,0.46998,0.03226,0.00125,0.20945,1.01136,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,9855.93,0.45467,0.05268,0.02567,0.29755,1.00962,0.99515,0.98927,0.99392,0.92825,0.99498,0.98966,0.99405,0.99336,0.43303,0.03153,0.00121,0.21237,0.98996,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
