epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.243,0.35686,0.08671,0.02055,0.23065,0.95767,0.99493,0.98628,0.99393,0.92532,0.99546,0.98717,0.99426,0.99345,0.4697,0.06088,0.00159,0.20052,1.00886,0.000555163,0.000555163,0.000555163
2,845.833,0.43378,0.08255,0.02898,0.27629,0.99878,0.99539,0.9873,0.99403,0.9258,0.99566,0.98875,0.99427,0.99351,0.42896,0.04784,0.00149,0.2009,0.99097,0.00107417,0.00107417,0.00107417
3,1121.02,0.46464,0.09301,0.03236,0.29467,1.01819,0.9946,0.98704,0.99362,0.90134,0.99168,0.99215,0.99421,0.99334,0.60626,0.0464,0.00222,0.24845,1.08369,0.00155651,0.00155651,0.00155651
4,1388.05,0.4669,0.07838,0.03276,0.2964,1.0238,0.9944,0.98931,0.99413,0.92254,0.99439,0.98851,0.99422,0.99345,0.49584,0.05292,0.00168,0.21668,1.02917,0.00150197,0.00150197,0.00150197
5,1709.64,0.47016,0.07623,0.03018,0.30013,1.02546,0.99479,0.98584,0.99387,0.91962,0.99535,0.98627,0.99411,0.99328,0.4824,0.03728,0.00111,0.23239,1.0282,0.00144696,0.00144696,0.00144696
6,2118.31,0.4567,0.06777,0.02713,0.29355,1.0148,0.9942,0.98555,0.99384,0.90937,0.99335,0.98785,0.99411,0.99311,0.52256,0.04686,0.00106,0.21704,1.0366,0.00139195,0.00139195,0.00139195
7,2528.88,0.44413,0.06684,0.02465,0.28546,1.0034,0.99476,0.98998,0.99405,0.92575,0.99516,0.98994,0.99413,0.99342,0.48818,0.04431,0.00157,0.22323,1.02702,0.00133693,0.00133693,0.00133693
8,2971.35,0.43558,0.06258,0.02337,0.28089,0.99773,0.99292,0.9924,0.99419,0.93258,0.993,0.99249,0.99429,0.99352,0.45528,0.03955,0.00078,0.21535,1.01679,0.00128192,0.00128192,0.00128192
9,3433.6,0.42589,0.06446,0.02514,0.27711,0.99338,0.99383,0.98955,0.9939,0.92984,0.99408,0.99067,0.99409,0.99317,0.44139,0.041,0.00173,0.20872,1.00347,0.00122691,0.00122691,0.00122691
10,3907.52,0.42463,0.05324,0.02168,0.27212,0.99541,0.995,0.99162,0.99399,0.92924,0.99538,0.99218,0.99415,0.99347,0.46854,0.03547,0.00142,0.23725,1.00508,0.0011719,0.0011719,0.0011719
11,4387.36,0.41768,0.0545,0.02257,0.27226,0.98699,0.99226,0.9911,0.99424,0.92894,0.99278,0.99266,0.99431,0.99368,0.44077,0.03623,0.00094,0.19645,0.99414,0.00111689,0.00111689,0.00111689
