epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,4859.65,0.40806,0.05035,0.01969,0.263,0.98301,0.99357,0.99121,0.99409,0.93012,0.9941,0.99202,0.99424,0.99362,0.43731,0.03766,0.0039,0.206,0.98912,0.00106188,0.00106188,0.00106188
13,5309.69,0.40153,0.04869,0.02075,0.26052,0.976,0.99363,0.98946,0.99402,0.92816,0.99555,0.99134,0.99426,0.9935,0.45901,0.03363,0.0009,0.2098,1.00847,0.00100687,0.00100687,0.00100687
14,5842.16,0.39462,0.04665,0.01925,0.25642,0.97359,0.9954,0.99024,0.99416,0.93234,0.99572,0.99214,0.9943,0.99372,0.41477,0.03493,0.00117,0.18142,0.98368,0.000951857,0.000951857,0.000951857
15,6304.69,0.39329,0.04445,0.01854,0.25375,0.97322,0.99607,0.98998,0.99421,0.93572,0.99557,0.99214,0.99432,0.99386,0.40503,0.03126,0.00113,0.19342,0.97353,0.000896846,0.000896846,0.000896846
16,6702.35,0.38648,0.04223,0.01679,0.24701,0.96956,0.99653,0.99188,0.99435,0.93539,0.99686,0.99225,0.99439,0.99399,0.45519,0.02874,0.00115,0.19196,1.00186,0.000841835,0.000841835,0.000841835
17,7106.55,0.38001,0.04093,0.01628,0.24583,0.96474,0.99529,0.99292,0.9944,0.93815,0.99602,0.99338,0.99444,0.99394,0.4048,0.02922,0.00075,0.18195,0.97565,0.000786824,0.000786824,0.000786824
18,7466.6,0.37489,0.04002,0.01565,0.24305,0.96202,0.99498,0.99249,0.99436,0.93687,0.9963,0.99257,0.99446,0.99393,0.39033,0.02915,0.00084,0.17776,0.96949,0.000731813,0.000731813,0.000731813
19,7832.46,0.36796,0.04011,0.0165,0.23824,0.96165,0.99737,0.9915,0.99437,0.93646,0.99755,0.99168,0.99441,0.99389,0.41372,0.02816,0.00088,0.18444,0.97697,0.000676802,0.000676802,0.000676802
20,8183.98,0.36359,0.03809,0.01614,0.23702,0.95801,0.99624,0.99197,0.99433,0.93893,0.99685,0.99257,0.9944,0.99396,0.40494,0.02974,0.00079,0.17916,0.9754,0.000621791,0.000621791,0.000621791
21,8741.86,0.33753,0.02401,0.0082,0.19192,0.93633,0.99584,0.99358,0.99442,0.93994,0.99618,0.99392,0.99448,0.99405,0.39955,0.02783,0.00072,0.17861,0.9755,0.00056678,0.00056678,0.00056678
22,9040.53,0.32817,0.02115,0.00678,0.18641,0.9319,0.99672,0.993,0.99448,0.93811,0.99689,0.99335,0.99452,0.99414,0.40048,0.02766,0.00077,0.18274,0.97163,0.000511769,0.000511769,0.000511769
23,9307.52,0.32254,0.02035,0.00703,0.18429,0.92787,0.99687,0.99361,0.99437,0.94243,0.99708,0.99378,0.99442,0.99408,0.36658,0.02683,0.00063,0.16465,0.95805,0.000456758,0.000456758,0.000456758
24,9603.59,0.31666,0.02037,0.00554,0.17893,0.925,0.99676,0.99214,0.9944,0.93938,0.99674,0.99266,0.99444,0.99412,0.38757,0.02618,0.00069,0.16783,0.96527,0.000401747,0.000401747,0.000401747
25,9871.2,0.31091,0.01855,0.00595,0.17578,0.92025,0.99557,0.99306,0.99444,0.94029,0.99611,0.99283,0.99448,0.99412,0.37266,0.02666,0.00057,0.16287,0.96006,0.000346736,0.000346736,0.000346736
26,10137.3,0.3046,0.01883,0.00549,0.17253,0.91686,0.99629,0.99395,0.99448,0.94301,0.99663,0.9943,0.99453,0.99417,0.37698,0.02629,0.00062,0.16427,0.95994,0.000291725,0.000291725,0.000291725
27,10406.9,0.29966,0.01719,0.00565,0.17037,0.91455,0.99636,0.99421,0.99449,0.9402,0.99653,0.99439,0.99453,0.9942,0.38236,0.02626,0.00073,0.16881,0.96141,0.000236714,0.000236714,0.000236714
28,10673.6,0.2969,0.01713,0.00465,0.1671,0.91058,0.99731,0.99361,0.99442,0.94357,0.99733,0.99382,0.99447,0.99412,0.36811,0.02542,0.00061,0.15995,0.95822,0.000181703,0.000181703,0.000181703
29,10966.1,0.29173,0.0165,0.00479,0.16512,0.90916,0.99615,0.99447,0.99435,0.94505,0.99627,0.99465,0.9944,0.99406,0.35655,0.02563,0.00082,0.15462,0.95335,0.000126692,0.000126692,0.000126692
30,11249.7,0.28576,0.01631,0.00434,0.16032,0.90507,0.99713,0.99358,0.99441,0.944,0.99704,0.99382,0.99445,0.99409,0.36532,0.02565,0.00081,0.15755,0.95616,7.1681e-05,7.1681e-05,7.1681e-05
